date,price
2016-09-03,52.61270496733066
2016-09-04,53.55310272569007
2016-09-05,53.43146837646348
2016-09-06,53.721273963614856
2016-09-07,53.92502046179463
2016-09-08,54.68202262175941
2016-09-09,54.49753927423932
2016-09-10,54.84866110667496
2016-09-11,53.15704580863088
2016-09-12,53.26247506249485
2016-09-13,53.340192918040884
2016-09-14,53.50671380406922
2016-09-15,53.59015902660847
2016-09-16,53.76059520023974
2016-09-17,53.737218413358185
2016-09-18,53.83327083184725
2016-09-19,54.20614987744658
2016-09-20,54.61587160681663
2016-09-21,53.360805301162884
2016-09-22,53.16652147831851
2016-09-23,53.84307930379728
2016-09-24,53.714720935378104
2016-09-25,53.70953283299168
2016-09-26,54.08146384654501
2016-09-27,54.07213572054679
2016-09-28,54.22916245983348
2016-09-29,54.16884014267768
